food;ingredients;category;kitchen;food_url
Коктейль «Олд-фэшенд» на выдержанном роме;биттер, тростниковый сахар, содовая вода , лед, ром, красная коктейльная вишня;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/kokteyl-old-feshend-na-vyderzhannom-rome-69298
Банановый смузи с кефиром;бананы, прозрачный мед, обезжиренный кефир;Напитки;Китайская кухня;https://eda.ru/recepty/napitki/bananovij-smuzi-s-kefirom-28451
Банановый смузи на соевом молоке;бананы, соевое молоко, ванильный стручок, кунжутные семечки;Напитки;Американская кухня;https://eda.ru/recepty/napitki/bananovyy-smuzi-26997
Коктейль «Мартини рояле»;белый вермут , сок лайма, просекко, лайм, мята;Напитки;Итальянская кухня;https://eda.ru/recepty/napitki/kokteyl-martini-royale-69297
Шоколадный смузи с бананом;молоко, молочный шоколад, бананы, корица;Напитки;Армянская кухня;https://eda.ru/recepty/napitki/shokoladnij-smuzi-s-bananom-36169
Горячий шоколад с лесными ягодами;сахар, сливочное масло, сливки 20%-ные, замороженные ягоды, горький шоколад;Напитки;Горячий шоколад;https://eda.ru/recepty/napitki/gorjachij-shokolad-s-lesnimi-jagodami-16663
Коктейль «Россо-тоник»;красный вермут, тоник, апельсины;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/kokteyl-rosso-tonik-126159
Коктейль «Зимний кубок»;крюшон, белое сухое вино, яблочный сок, мед, мускатный орех, анис (бадьян), гвоздика;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/kokteyl-zimniy-kubok-58104
Компот из замороженных ягод;замороженные ягоды, вода, сахар;Напитки;Русская кухня;https://eda.ru/recepty/napitki/kompot-iz-zamorozhennih-jagod-40324
Настойка на мяте и базилике;базилик, свежая мята, сахар, джин;Напитки;Авторская кухня;https://eda.ru/recepty/napitki/nastoyka-na-myate-i-bazilike-152684
Дайкири;белый ром, сок лайма, белый мелкий сахар;Напитки;Кубинская кухня;https://eda.ru/recepty/napitki/dajkiri-44206
Раф;эспрессо, ванильный сахар, сливки;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/raf-93586
Вишневый кисель;вода, замороженная вишня, крахмал, пломбир;Напитки;Украинская кухня;https://eda.ru/recepty/napitki/vishnevij-kisel-47810
Ароматный масала-чай;вода, гвоздика, молотая корица, мускатный орех, молотый кардамон, молоко, коричневый сахар, свежий имбирь, черный чай;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/aromatnij-masala-chaj-37044
Горячий шоколадный пай;сливочное масло, черный шоколад 70%-ный, сахар, куриное яйцо, пшеничная мука;Напитки;Французская кухня;https://eda.ru/recepty/napitki/gorjachij-shokoladnij-paj-28340
Смузи из сухофруктов;курага, темный изюм, мед, овсяные хлопья, миндальное молоко;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/smuzi-iz-suhofruktov-21856
Молочный коктейль с бананом;молоко, бананы, сливочное мороженое;Напитки;Американская кухня;https://eda.ru/recepty/napitki/molochnij-koktejl-s-bananom-37433
Ананасовый смузи;апельсиновый сок, ананасовый сок, ананас, бананы;Напитки;Армянская кухня;https://eda.ru/recepty/napitki/ananasovij-smuzi-24229
Сангрия (Sangria);лимон, апельсины, тростниковый сахар, красное сухое вино, бренди, содовая вода ;Напитки;Испанская кухня;https://eda.ru/recepty/napitki/sangrija-sangria-23397
Настойка на настурции, базилике и кейле;кинза, листья настурции, капуста кейл, листья базилика, перец чили, душистый перец горошком, водка;Напитки;Авторская кухня;https://eda.ru/recepty/napitki/nastoyka-na-nasturcii-bazilike-i-keyle-152683
Коктейль «Форрест Гамп»;щавель, тростниковый сахар, водка, цветочный мед, лед;Напитки;Авторская кухня;https://eda.ru/recepty/napitki/koktejl-forrest-gamp-18567
Мичелада;лайм, пиво, вустерширский соус, tabasco®, томатный сок, черная соль, перец чили хлопьями;Напитки;Мексиканская кухня;https://eda.ru/recepty/napitki/michelada-174102
Сбитень;травяной сбор, мята, лайм, лимон, мед, корица, вода;Напитки;Русская кухня;https://eda.ru/recepty/napitki/sbiten-47809
Бананово-шоколадный милкшейк;какао-порошок, молоко, бананы, лед;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/bananovo-shokoladnij-milkshejk-27077
Молоко из миндаля;миндаль, вода, мед, молотая корица;Напитки;Русская кухня;https://eda.ru/recepty/napitki/moloko-iz-mindalja-19226
Коктейль «Боярский»;водка, гренадин, tabasco®;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-bojarskij-41022
Теплое банановое молоко;молоко, бананы;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/teploe-bananovoe-moloko-29127
Чай латте со специями;молоко, молотая корица, молотый мускатный орех, черный чай, ванилин, мед;Напитки;Индийская кухня;https://eda.ru/recepty/napitki/chaj-latte-so-specijami-19970
Коктейль «Куба-либре» (Cuba Libre);светлый ром, кока-кола, лайм, лед;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-kuba-libre-cuba-libre-41076
Шиповник;вода, сушеный шиповник, жидкий мед, апельсины;Напитки;Русская кухня;https://eda.ru/recepty/napitki/shipovnik-47811
Коктейль «Белый русский» (White Russian);водка, кофейный ликер, сливки, сахарный сироп, какао;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/koktejl-belij-russkij-white-russian-41023
Безалкогольный мохито с газировкой;свежая мята, лед, газированная вода, сахар, лайм;Напитки;Испанская кухня;https://eda.ru/recepty/napitki/bezalkogolnij-mohito-s-gazirovkoj-28514
Домашний лимонад;сахар, лимонный сок, вода, лимон, лед;Напитки;Авторская кухня;https://eda.ru/recepty/napitki/domashnij-limonad-21007
Смузи из киви, клубники и банана;клубника, бананы, киви, ананасовый сок, сахар, лед;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/smuzi-iz-kivi-klubniki-i-banana-39160
Смузи из клубники и черешни;клубника, черешня, молоко, ванилин;Напитки;Европейская кухня;https://eda.ru/recepty/napitki/smuzi-iz-klubniki-chereshni-24580
