food;ingredients;category;kitchen;food_url
Салат с мандаринами и камамбером;красное сухое вино, палочки корицы, кардамон, анис (бадьян), гвоздика, мандарины, сыр камамбер, пряная рукола «белая дача», бальзамический крем, сахар, соль, молотый черный перец;Салаты;Вегетарианская еда;https://eda.ru/recepty/salaty/salat-s-mandarinami-i-kamamberom-126198
Салат с кальмарами;кальмары, куриное яйцо, огурцы, зеленый лук, петрушка, майонез, соль, молотый черный перец;Салаты;Европейская кухня;https://eda.ru/recepty/salaty/salat-s-kalmarami-140134
Салат с креветками;киноа, очищенные креветки, авокадо, помидоры черри, шпинат, оливковое масло, зернистая горчица, красный лук, лимонный сок, чеснок, кинза, соль, молотый черный перец;Салаты;Европейская кухня;https://eda.ru/recepty/salaty/salat-s-krevetkami-140264
Острый салат с кукурузой и айсбергом;хрустящий айсберг «белая дача»  , помидоры, консервированная мини кукуруза, морковь, петрушка, кинза, мята, перец чили, кешью, лайм, рыбный соус, коричневый сахар, растительное масло, перец чили хлопьями, соль, красный лук;Салаты;Европейская кухня;https://eda.ru/recepty/salaty/ostryy-salat-s-kukuruzoy-i-aysbergom-92268
Салат с утиной грудкой, рукколой и клюквенным соусом;утиная грудка с кожей, апельсины, клюква, сахар, корица, анис (бадьян), сливочное масло, оливковое масло, тимьян, мед, рисовый уксус, пряная рукола «белая дача», кедровые орехи, соль, молотый черный перец;Салаты;Итальянская кухня;https://eda.ru/recepty/salaty/salat-s-utinoy-grudkoy-rukkoloy-i-klyukvennym-sousom-114447
Салат с сыром и ананасами;сыр, консервированный ананас, чеснок, майонез;Салаты;Мексиканская кухня;https://eda.ru/recepty/salaty/salat-s-sirom-i-ananasami-35294
Салат «Сладкий, Роман»;морковь, яблоко, грецкие орехи, изюм, сметана, сахар;Салаты;Пошаговые рецепты;https://eda.ru/recepty/salaty/salat-sladkiy-roman-126312
Салат «Нисуаз» с тунцом;зеленый салат, куриное яйцо, соль, помидоры, зеленая стручковая фасоль, картофель, филе тунца, молотый черный перец, оливковое масло, анчоусы, маслины без косточек, лимонный сок;Салаты;Европейская кухня;https://eda.ru/recepty/salaty/salat-nisuaz-s-tuncom-47142
Салат «Мимоза» легкий;рыбные консервы, репчатый лук, майонез, куриное яйцо, картофель, морковь, зеленый лук;Салаты;Русская кухня;https://eda.ru/recepty/salaty/salat-mimoza-legkij-17760
Теплый салат с куриной грудкой;оливковое масло, куриная грудка, красный лук, салат романо, лимон, авокадо, сушеные помидоры, листья базилика, миндаль, сыр моцарелла, соль, молотый черный перец, бальзамический уксус, бекон;Салаты;Европейская кухня;https://eda.ru/recepty/salaty/teplij-salat-s-kurinoj-grudkoj-25705
Теплый салат с жареным сыром;помидоры, адыгейский сыр, смесь салатных листьев, огурцы, пшеничная мука, итальянская салатная заправка , кедровые орехи, оливковое масло, красный лук;Салаты;Европейская кухня;https://eda.ru/recepty/salaty/teplij-salat-s-zharenim-sirom-27026
Салат с ветчиной;белокочанная капуста, огурцы, ветчина, консервированная кукуруза, зеленый лук, майонез, лимонный сок, соль, молотый черный перец;Салаты;Европейская кухня;https://eda.ru/recepty/salaty/salat-s-vetchinoy-151447
Салат с курицей, сыром и ананасами;куриное филе, чеснок, твердый сыр, майонез, соль, консервированный ананас;Салаты;Европейская кухня;https://eda.ru/recepty/salaty/salat-s-kuricej-sirom-i-ananasami-42952
Салат с инжиром, авокадо и фермерским сыром;инжир, авокадо, апельсины, домашний сыр, кедровые орехи, рисовый уксус, оливковое масло, соль, сахар, молотый черный перец, рукола;Салаты;Европейская кухня;https://eda.ru/recepty/salaty/salat-s-inzhirom-avokado-i-fermerskim-syrom-93794
Салат с киноа и бататом;киноа, смесь салатных листьев, батат, помидоры черри, авокадо, лимон, ростки подсолнуха, оливковое масло extra virgin, оливковое масло, соус тамари;Салаты;Мексиканская кухня;https://eda.ru/recepty/salaty/salat-s-kinoa-i-batatom-42464
Греческий салат с красным луком;помидоры, огурцы, желтый сладкий перец, красный лук, сыр фета, маслины, соль, молотый черный перец, оливковое масло, базилик, петрушка, салат ромен;Салаты;Греческая кухня;https://eda.ru/recepty/salaty/grecheskij-salat-s-krasnim-lukom-29038
Салат с редиской;редис, огурцы, куриное яйцо, укроп, зеленый лук, жирная сметана, соль, молотый черный перец;Салаты;Русская кухня;https://eda.ru/recepty/salaty/salat-s-rediskoy-140860
